"IZ5MMH-3","79.23.57.37","0","AR-Cluster"
"IZ6FZS-6","iz6fzs.dyndns.org","9000","DX Spider"
"IZ6RND-6","217.61.13.91","7300","DX Spider"
"IZ7AUH-6","dx.iz7auh.net","8000","DX Spider"
"IZ8BRI-2","iz8bri.dyndns.org","9000","CC Cluster"
"IZ8BRI-6","iz8bri.dyndns.org","9000","DX Spider"
"IZ8DMZ-6","iz8dmz.no-ip.org","8000","DX Spider"
"IZ8EJB-6","iz8ejb.ddns.net","8000","DX Spider"
"IZ8ETW-6","iz8etw.dyndns.org","8000","DX Spider"
"IZ8FST-6","iz8fst.dyndns.org","9000","DX Spider"
"IZ8MBW-6","dx.iz8mbw.net","7300","DX Spider"
"J68HZ-5","j6skim.ddns.net","23","CC Cluster"
"JA2YYF","ja2yyf.d2g.com","23","AR-Cluster"
"JA4PXC-11","bld.dxscape.com","8000","DxNet"
"JA9IPF","ja9ipf.dyndns.org","9000","DX Spider"
"JE3YEK","ja3yaq.ampr.org","9000","DX Spider"
"JF1OCQ","w1vx.atnifty.com","23","WinCluster"
"JG1VGX-7","5925.jp","7373","CC Cluster"
"JG1VGX-8","5925.jp","7000","AR-Cluster"
"JG1VGX-9","5925.jp","7300","DX Spider"
"JH1RFM-11","jh1rfm.ddo.jp","9000","DxNet"
"JH1RFM-9","jh1rfm.ddo.jp","7300","DX Spider"
"JH2ZYY","jh2zyy.d2g.com","23","AR-Cluster"
"JH3LFL","www.610dx.com","41112","CLX"
"JH6VLF-11","jh6vlf.ddo.jp","8000","DxNet"
"JI1MNT-7","dx-cluster.com","7788","CC Cluster"
"JI1MNT-8","dx-cluster.com","8877","AR-Cluster"
"JK1ZRW-9","dxspider.jk1zrw.org","7300","DX Spider"
"JL3YCW-9","abuail.ddo.jp","7300","DX Spider"
"JO3VRT","ja3azd.dyndns.org","9000","DX Spider"
"K0MVH-1","dxcluster.k0mvh.io","7300","OTHER"
"K0PIR-2","pi.k0pir.us","7300","DX Spider"
"K0WL","k0wl.ddns.net","7373","AR-Cluster"
"K0XM-5","dxc.k0xm.net","7300","CC Cluster"
"K1AX-11","dxdata.io","7300","DX Spider"
"K1EU","k1eu.ddns.net","23","AR-Cluster"
"K1RFI","k1rfi.com","7300","DX Spider"
"K1SA","sebago.ddns.net","7373","AR-Cluster"
"K1TTT","k1ttt.net","7373","AR-Cluster"
"K1VU","k1vu.miketheactuary.com","4242","AR-Cluster"
"K2CAN","k2can.us","7373","CC Cluster"
"K2LS","dxc.k2ls.com","23","DX Spider"
"K3KT-1","216.135.40.104","7300","DX Spider"
"K3LR","dx.k3lr.com","23","AR-Cluster"
"K3NC","dxc.k3nc.com","23","CC Cluster"
"K4EA","dxc.k4ea.net","23","AR-Cluster"
"K4FCG","k4fcg.dyndns.org","23","AR-Cluster"
"K4FX","dxc.k4fx.net","7300","DX Spider"
"K4GSO-2","dxc.k4gso.com","7373","DX Spider"
"K4JW","k4jw.no-ip.com","41414","DX Spider"
"K4KYD-1","dxc.k4kyd.com","7300","DX Spider"
"K4MD","cdxa.no-ip.org","7375","AR-Cluster"
"K4UJ","cluster-us.dx-is.com","7300","DX Spider"
"K4UJ-1","cluster-eu.dx-is.com","7300","DX Spider"
"K4ZR","k4zr.no-ip.org","7300","DX Spider"
"K5DX","dxc.tdxs.net","7373","AR-Cluster"
"K5JZ","dxc.k5jz.net","7373","AR-Cluster"
"K5TL","dxc.k5tl.com","23","AR-Cluster"
"K6JWN-1","dx.k6jwn.org","7300","DX Spider"
"K6KOZ","k6koz.serveftp.com","7300","AR-Cluster"
"K7AR","k7ar.net","7374","AR-Cluster"
"K7TJ-1","k7tj.ewarg.org","7300","CC Cluster"
"K8BTT-1","cluster.dxworld.info","8000","CC Cluster"
"K9AJ","dxc.k9aj.net","23","AR-Cluster"
"K9LC","k9lc.ddns.net","7300","CC Cluster"
"K9USA","soliton.csl.illinois.edu","8000","DX Spider"
"K9WMS-2","k9wms.com","7374","AR-Cluster"
"K9WMS-3","k9wms.com","7373","AR-Cluster"
"KA2PBT-1","dx.ka2pbt.com","7300","DX Spider"
"KA3NAM-14","dxc.ka3nam.com","7300","DX Spider"
"KA9OKH-2","96.27.205.110","7373","AR-Cluster"
"KB2FAF-12","kb2faf.net","7300","DX Spider"
"KB2S-2","dxc.kb2s.net","7300","DX Spider"
"KB2SSE-2","kb2sse.dyndns.org","7300","DX Spider"
"KB3CMT-2","kb3cmt.com","7300","DX Spider"
"KB5VJY-1","kb5vjy.com","8000","DX Spider"
"KB5WCK-2","kb5wck-spider.duckdns.org","7300","DX Spider"
"KB8PMY-3","kb8pmy.net","7300","DX Spider"
"KB8UVN-2","dxc.ohiopacket.org","7300","DX Spider"
"KC0AVQ","kc0avq.dyndns.org","23","AR-Cluster"
"KC2CWT-9","dxspider.kc2cwt.net","7300","DX Spider"
"KC3OL-1","kc3ol.dynip.com","23","AR-Cluster"
"KC5NYO","kc5nyo.dns2go.com","23","AR-Cluster"
"KC9AOP-1","dxspots.kc9aop.net","7300","DX Spider"
"KC9GWK-2","104.234.133.51","7300","DX Spider"
"KD4GCA-9","kd4gca.dyndns.org","7300","DX Spider"
"KE2L-5","dx.scarcnj.org","7300","DX Spider"
"KE2OI-10","ke2oi.dyndns.org","7300","DX Spider"
"KF2FK-1","themaincomputer.net","7300","DX Spider"
"KF4LLF-8","KF4LLF.no-IP.org","7300","CC Cluster"
"KF8I-3","217.180.211.244","7300","DX Spider"
"KF8MZ-3","217.180.211.244","7300","DX Spider"
"KG4OOL-2","dxfinder.bfielding.com","7300","DX Spider"
"KI5T-2","98.181.43.23","7300","CC Cluster"
"KK4UIL","hobbyshack.no-ip.org","7300","CC Cluster"
"KL7OR-7","kl7or.ddns.net","7373","CC Cluster"
"KM3T","dx.km3t.net","7373","AR-Cluster"
"KM3T-10","dxspider.km3t.net","7300","DX Spider"
"KM3T-3","dxcc.km3t.net","7373","CC Cluster"
"KM8V","dxc.km8v.com","7373","DX Spider"
"KN2M","kn2m.d2g.com","7373","CC Cluster"
"KN4F","dxc.kn4f.net","23","AR-Cluster"
"KN9N","kn9n.no-ip.org","7300","DX Spider"
"KP3DX","136.145.86.189","23","AR-Cluster"
"KP4JRS-3","dxc.kp4jrs.com","23","AR-Cluster"
"KQ8M","kq8m.no-ip.org","7373","AR-Cluster"
"KQ8M-2","kq8m.no-ip.org","7374","AR-Cluster"
"KQ8M-3","kq8m.no-ip.org","3608","AR-Cluster"
"KQ8M-4","kq8m.no-ip.org","23","AR-Cluster"
"KX4O-2","spots.qsoparty.com","7300","DX Spider"
"KY1V","dx.ultradx.com","23","AR-Cluster"
"KY4XX-3","dxc.ky4xx.com","7300","DX Spider"
"KY9J-2","104.4.69.17","7300","DX Spider"
"LA1B-9","193.75.61.192","7300","DX Spider"
"LA3C-6","la3c.ddns.net","7388","CC Cluster"
"LA3R-6","la3r-6.shacknet.nu","9000","DX Spider"
"LA3WAA-6","la3waa.ddns.net","8000","CC Cluster"
"LA7Q-6","la7q.ddns.net","9000","CC Cluster"
"LU3DXG","190.211.198.165","7300","DX Spider"
"LU9DA-6","lu9da.no-ip.org","9000","DX Spider"
"LZ0DXC","lz0dxc.tabakov.net","7300","DX Spider"
"LZ7A","lz7aa.com","7300","CC Cluster"
"M0KGX-3","dx.m0kgx.com","7300","DX Spider"
"M0MHX-1","dxc.m0mhx.uk","7300","DX Spider"
"MB6WV","mb6wv.ddns.net","7373","DX Spider"
"MX0NCA-2","dxc.mx0nca.uk","7373","DX Spider"
"MX0ONL-4","dx.onlineradioclub.org","7300","DX Spider"
"N0CDA-1","n0cda.ddns.net","7300","DX Spider"
"N0OJ-7","cluster.n0oj.net","7300","DX Spider"
"N0VD-7","cluster.dxcentral.com","23","DX Spider"
"N1TA","n1ta.ddns.net","23","AR-Cluster"
"N2FJ-2","n2fjdx.no-ip.org","23","AR-Cluster"
"N2KI","dxc.n2ki.com","7300","DX Spider"
"N2WLS-5","dxc.n2wls.com","7300","DX Spider"
"N2WQ-1","cluster.n2wq.com","7373","CC Cluster"
"N2YO-2","dxc.n2yo.net","7300","DX Spider"
"N3BSQ-1","n3bsq.ddns.net","7300","DX Spider"
"N3HYM-4","n3hym.ddns.net","7373","CC Cluster"
"N3KDA","n3kda.ham-radio-op.net","23","AR-Cluster"
"N3MEQ-2","n3meq.dyndns.ws","8000","DX Spider"
"N3TUQ-15","home.n3tuq.com","2323","CC Cluster"
"N3UA","N3UA.HOPTO.ORG","7373","AR-Cluster"
"N4DW-9","97.81.157,145","7300","DX Spider"
